nroErrores;Error;GÉNERO;AÑO;GRADO;GRUPO;FECHA DE NACIMIENTO;EDAD;NIVEL;CATEGORÍA;UNIDAD ACADÉMICA;SEDE;PROGRAMA EDUCATIVO;NACIONALIDAD;ESTADO DE NACIMIENTO;LENGUA INDÍGENA;Núm. ALUMNOS
1;Valores repetidos;H;2008           ;1              ;2              ;30/08/1993;15             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
2;Valores repetidos;H;2008           ;1              ;12             ;16/02/1993;15             ;PREPARATORIA;BECADO INTERNO;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
3;Valores repetidos;H;2008           ;2              ;6              ;13/06/1992;16             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
4;Valores repetidos;H;2008           ;3              ;6              ;09/03/1991;17             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;TLAXCALA       ;             ;1              
5;Valores repetidos;H;2008           ;3              ;11             ;02/01/1991;17             ;PREPARATORIA;EXTERNO       ;DEIS PREPARATORIA AGRÍCOLA;CHAPINGO;PREPARATORIA AGRÍCOLA;MEXICANA;MÉXICO         ;             ;1              
6;Valores repetidos;H;2008           ;4              ;1              ;02/11/1990;17             ;LICENCIATURA;EXTERNO       ;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
7;Valores repetidos;H;2008           ;4              ;2              ;19/05/1990;18             ;LICENCIATURA;EXTERNO       ;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;             ;1              
8;Valores repetidos;H;2008           ;4              ;2              ;13/08/1990;18             ;LICENCIATURA;EXTERNO       ;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;TRONCO COMÚN DE DICEA;MEXICANA;MÉXICO         ;             ;1              
9;Valores repetidos;H;2008           ;5              ;1              ;18/02/1989;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;TSOTSIL      ;1              
10;Valores repetidos;H;2008           ;5              ;2              ;22/03/1988;20             ;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROIND;CHAPINGO;INGENIERÍA AGROINDUST;MEXICANA;MÉXICO         ;             ;1              
11;Valores repetidos;H;2008           ;5              ;3              ;28/09/1988;20             ;LICENCIATURA;BECADO INTERNO;DEIS EN PARASITOLOGÍA AGRÍ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
12;Valores repetidos;H;2008           ;5              ;3              ;09/08/1989;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;MAZAHUA      ;1              
13;Valores repetidos;H;2008           ;5              ;3              ;07/12/1989;18             ;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;MÉXICO         ;             ;1              
14;Valores repetidos;H;2008           ;5              ;4              ;10/05/1987;21             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;CHIAPAS        ;TSELTAL      ;1              
15;Valores repetidos;H;2008           ;6              ;1              ;19/12/1988;19             ;LICENCIATURA;BECADO INTERNO;DEIS EN INGENIERÍA MECÁNIC;CHAPINGO;INGENIERO MECÁNICO AG;MEXICANA;OAXACA         ;             ;1              
16;Valores repetidos;H;2008           ;6              ;2              ;31/12/1987;20             ;LICENCIATURA;EXTERNO       ;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
17;Valores repetidos;H;2008           ;6              ;2              ;26/02/1988;20             ;LICENCIATURA;EXTERNO       ;DEIS EN FITOTECNIA        ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;MÉXICO         ;             ;1              
18;Valores repetidos;H;2008           ;6              ;3              ;08/01/1988;20             ;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS ECONÓ;CHAPINGO;LICENCIATURA EN ECONO;MEXICANA;OAXACA         ;             ;1              
19;Valores repetidos;H;2008           ;7              ;2              ;21/10/1986;21             ;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA         ;CHAPINGO;INGENIERO AGRÓNOMO ES;MEXICANA;OAXACA         ;             ;1              
